,tweet_id,created_at,full_text,user_id,tweet_type,retweeted_id
0,1532424294500007937,Thu Jun 02 18:09:57 +0000 2022,"Here’s a nice video to share for #PrideMonth. I spoke to an African tribe about transgenderism. The Left claims that traditional cultures have fluid notions of gender. That’s… not exactly what I found.

More in the full film, What Is A Woman, premiering tonight on the Daily Wire https://t.co/WbU6s8Y2Q5",1079096103247724544,Quote Tweet,
0,1532424294004936706,Thu Jun 02 18:09:57 +0000 2022,"Everything you need to know about this gun control package: Democrats don’t even want to let me show what they’re trying to ban. 
 
I’m an American in my own home, and I’ll do whatever I want with my guns, Mr. Chairman. https://t.co/pH2OIsnlVp",553010243,Retweet,1532399894773878784
0,1532424293363204097,Thu Jun 02 18:09:57 +0000 2022,if you followed a domestic abuse case like primetime popcorn cable that's extremely weird and dystopian and I am judging you,357089239,Retweet,1532084347976658946
0,1532424293354598402,Thu Jun 02 18:09:57 +0000 2022,"We live in a strange world.

Did A Progressive Prosecutor Eat Children In Utah? https://t.co/rwV3CfYQCk",1267294274736893953,Original Tweet,
0,1532424293186826240,Thu Jun 02 18:09:57 +0000 2022,"Precedent is now set in the US that even if you don’t name your abuser in a piece of writing and have evidence of abuse, you can be sued for defamation and lose",2312150599,Retweet,1532083116331913217
0,1532424292847308800,Thu Jun 02 18:09:57 +0000 2022,"@Angry_Staffer Jury is out on hearts, but it’s really brains we question, Louie…",798271160412676096,Reply Tweet,
0,1532424292599844864,Thu Jun 02 18:09:57 +0000 2022,💦👠🐬 African Art 💦🍷🐳 https://t.co/ybHc4jetb3,1406848667487715329,Retweet,1532402715317485568
0,1532424292306145297,Thu Jun 02 18:09:57 +0000 2022,"Pakistan continues to be economically mismanaged by the PDM govt. Power tariff being raised by 50%, downgrading of credit rating and raging load shedding and inflation. Allah save our people from their incompetence.",1100438592592195585,Retweet,1532380202915057666
0,1532424292247425033,Thu Jun 02 18:09:56 +0000 2022,"@penelopebonduk @TheMissAP 

(Had to put a star there as the thong is see through and I don't want Twitter to get angry with me again 😅) https://t.co/RtCJlwrqBo",1087369804330217473,Reply Tweet,
0,1532424292113207302,Thu Jun 02 18:09:56 +0000 2022,Among the most beloved of people to Allah is the one who is most helpful.,749198786,Retweet,1532089856075124736
0,1532424291601506304,Thu Jun 02 18:09:56 +0000 2022,".@MattWalshBlog brings new meaning to the phrase ""own the libs."" 😂

https://t.co/KC3nUA2FqH",1027288729516298240,Retweet,1532415052917129216
0,1532424291370815489,Thu Jun 02 18:09:56 +0000 2022,"@badgyaI ppl really think women do not abuse, I was raped by a woman and never got justice. I'm so happy justice was served today",1375871618292060165,Reply Tweet,
0,1532424291265957888,Thu Jun 02 18:09:56 +0000 2022,"On Saturday, Garda Joe Costello and Garda Brid Stapleton were on beat patrol along O’Connell Street in Waterford during Africa Day 

#CommunityPolicing https://t.co/kAHGHBvjPM",869246743728312320,Retweet,1532410505155031040
0,1532424291182071830,Thu Jun 02 18:09:56 +0000 2022,Adult life is constantly saying to your friends let’s do something soon and suddenly 6 months have gone by,78407948,Retweet,1532086748255338497
0,1532424291169583105,Thu Jun 02 18:09:56 +0000 2022,"Good. Corinthian defrauded thousands of veterans. And took their GI Bill money (which comes from taxpayers). So, they also defrauded you. If you’re not angry, you’re not paying attention. #DefendTheGIBill https://t.co/NY0qjfw3SE",785425199432863744,Retweet,1532422537094864896
0,1532424291056328704,Thu Jun 02 18:09:56 +0000 2022,@moxilicious03 @CharlieDoinks @GhoulishMacabre @MaestroMorgan17 @BiddyCross @HollyGoSoftly @annaeck73 @bleakachu_ @Harry79471860 @nahnahnikki @NoctourneM @TinFoilAwards @ScienceOfDesign @RustyGoodDalek1 @Noellenarwhal @namebunchofnos @stevek3384 @unclebill1985 @RansdellLiz @ToutesGarnies @AvaGraceVIP @MgtowRadical @aladrost @Oswaldorich3589 @lastplacepace @SleveMcDichal @missmiaow007 @beeonroids @HelenPenisland @Thomas65425756 @helenstaniland @3nigmatic_01 @tolrahsuoileber @ValyrianRose @weissbierpanzer @VtyP25 @JSampleVA @blackishmonday @BearsFanJordan @leeamott1 @ogolbe @Elfskin7 @athenapandora7 @Ambithera @GalaxyBodes @Happysad222 @numbersdelight @SnookerBunnyy @Angry__Birb I find you to be a person with a very silly disposition.,1403387201254199298,Reply Tweet,
0,1532424290939072512,Thu Jun 02 18:09:56 +0000 2022,"Saffron-clad Hindu sadhus are fraud (opening scene of film). But Peer Baba is Allah ka Banda. He is not only big in size but also in powers. Every ghost is scared of him.

Film Laxmii, co-produced and lead role by @akshaykumar, who played Asif, perfect match for Hindu girl Rashmi https://t.co/uuCPAoZXqn",1418313788,Retweet,1532411334209327106
0,1532424290880086016,Thu Jun 02 18:09:56 +0000 2022,"@_E14_ @steviejayonline @DominiqueTaegon Women are more manipulators than abusers. Obviously not all, but at least half. Men do abuse women much more than the other way around. Neither gender comes out clean in the 'innocent' theory/claim. I just hope that it was not the incorrect decision in the Depp vs Heard case",1509634067863687175,Reply Tweet,
